scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_3_market,match_url
2025-08-25 19:00:41 UTC,2025-04-24 19:30:00 UTC,Betis,Valladolid,LaLiga 2024/2025,5,1,"1:1, 4:0",Estadio Benito Villamarín,Sevilla,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/betis-valladolid-ILpd7ujg/
2025-08-25 19:00:41 UTC,2024-12-15 20:00:00 UTC,Barcelona,Leganes,LaLiga 2024/2025,0,1,"0:1, 0:0",Estadi Olímpic Lluís Companys,Barcelona,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/barcelona-leganes-Y79THMHd/
2025-08-25 19:00:41 UTC,2024-08-27 17:00:00 UTC,Mallorca,Sevilla,LaLiga 2024/2025,0,0,"0:0, 0:0",Estadi Mallorca Son Moix,Palma de Mallorca,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/mallorca-sevilla-4KmdZaBc/
2025-08-25 19:00:41 UTC,2025-02-23 17:30:00 UTC,Getafe,Betis,LaLiga 2024/2025,1,2,"0:1, 1:1",Coliseum,Getafe,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/getafe-betis-vLYGLMiK/
2025-08-25 19:02:55 UTC,2024-08-24 17:00:00 UTC,Barcelona,Ath Bilbao,LaLiga 2024/2025,2,1,"1:1, 1:0",Estadi Olímpic Lluís Companys,Barcelona,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/barcelona-ath-bilbao-WhAFMMRi/
2025-08-25 19:02:54 UTC,2024-12-21 15:15:00 UTC,Celta Vigo,Real Sociedad,LaLiga 2024/2025,2,0,"2:0, 0:0",Estadio de Balaídos,Vigo,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/celta-vigo-real-sociedad-4GVrT7se/
2025-08-25 19:02:55 UTC,2025-03-30 14:15:00 UTC,Barcelona,Girona,LaLiga 2024/2025,4,1,"1:0, 3:1",Estadi Olímpic Lluís Companys,Barcelona,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/barcelona-girona-lWLHr2Ca/
2025-08-25 19:02:53 UTC,2025-05-18 17:00:00 UTC,Barcelona,Villarreal,LaLiga 2024/2025,2,3,"2:1, 0:2",Estadi Olímpic Lluís Companys,Barcelona,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/barcelona-villarreal-2R3hj2Xi/
2025-08-25 19:05:07 UTC,2024-09-25 19:00:00 UTC,Barcelona,Getafe,LaLiga 2024/2025,1,0,"1:0, 0:0",Estadi Olímpic Lluís Companys,Barcelona,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/barcelona-getafe-QDjsB5oT/
2025-08-25 19:05:07 UTC,2024-08-19 17:00:00 UTC,Valladolid,Espanyol,LaLiga 2024/2025,1,0,"1:0, 0:0",Estadio José Zorrilla,Valladolid,Spain,[],https://www.oddsportal.com/football/spain/laliga-2024-2025/valladolid-espanyol-ITdtTrn2/
