scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-25 06:49:56 UTC,2020-01-18 19:00:00 UTC,Oostende,Beveren,Jupiler League 2019/2020,0,1,"0:1, 0:0",AlbertPark,Oostende,Belgium,"[{'odds_over': '1.75', 'odds_under': '2.19', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.71', 'odds_under': '2.12', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.05', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.74', 'odds_under': '2.19', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.78', 'odds_under': '2.12', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.76(446)', 'odds_under': '2.18(34)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.76(446)', 'odds_under': '2.18(34)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.76(446)', 'odds_under': '2.18(34)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/oostende-sk-beveren-dzObMxED/
2025-08-25 06:49:48 UTC,2019-08-03 16:00:00 UTC,St. Liege,Waregem,Jupiler League 2019/2020,4,0,"2:0, 2:0",Maurice Dufrasnestadion,Lige,Belgium,"[{'odds_over': '1.35', 'odds_under': '2.85', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.36', 'odds_under': '3.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.42', 'odds_under': '2.65', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.37', 'odds_under': '3.19', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.42(546)', 'odds_under': '3.25(266)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.42(546)', 'odds_under': '3.25(266)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.42(546)', 'odds_under': '3.25(266)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/st-liege-waregem-UTJCzZK3/
2025-08-25 06:49:55 UTC,2020-02-28 19:30:00 UTC,St. Truiden,KV Mechelen,Jupiler League 2019/2020,0,3,"0:0, 0:3",Daio Wasabi Stayen,Sint-Truiden,Belgium,"[{'odds_over': '1.77', 'odds_under': '2.15', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.12', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.72', 'odds_under': '2.00', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '2.17', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '2.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.83(400)', 'odds_under': '2.18(452)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.83(400)', 'odds_under': '2.18(452)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.83(400)', 'odds_under': '2.18(452)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/st-truiden-kv-mechelen-rPNX1QlK/
2025-08-25 06:49:53 UTC,2020-01-31 19:30:00 UTC,Kortrijk,St. Liege,Jupiler League 2019/2020,3,1,"0:0, 3:1",Guldensporen Stadion,Kortrijk,Belgium,"[{'odds_over': '1.82', 'odds_under': '2.09', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '2.08', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.65', 'odds_under': '2.10', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.80', 'odds_under': '2.11', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.79', 'odds_under': '2.10', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.81(773)', 'odds_under': '2.18(59)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.81(773)', 'odds_under': '2.18(59)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.81(773)', 'odds_under': '2.18(59)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/kortrijk-st-liege-Sfn6McVA/
2025-08-25 06:50:18 UTC,2019-11-09 17:00:00 UTC,Charleroi,Eupen,Jupiler League 2019/2020,1,0,"0:0, 1:0",Stade du Pays de Charleroi,Charleroi,Belgium,"[{'odds_over': '1.96', 'odds_under': '1.92', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.95', 'odds_under': '1.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.87', 'odds_under': '1.83', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.99', 'odds_under': '1.91', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.01', 'odds_under': '1.87', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.08(513)', 'odds_under': '1.87(62)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.08(513)', 'odds_under': '1.87(62)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.08(513)', 'odds_under': '1.87(62)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/charleroi-eupen-2yHIyFIO/
2025-08-25 06:50:31 UTC,2019-11-03 19:00:00 UTC,KV Mechelen,Charleroi,Jupiler League 2019/2020,2,2,"2:2, 0:0",AFAS-stadion Achter de Kazerne,Mechelen,Belgium,"[{'odds_over': '1.83', 'odds_under': '2.05', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.86', 'odds_under': '1.94', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '1.95', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.89', 'odds_under': '2.01', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.87', 'odds_under': '2.01', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.90(116)', 'odds_under': '2.02(498)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.90(116)', 'odds_under': '2.02(498)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.90(116)', 'odds_under': '2.02(498)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/kv-mechelen-charleroi-UNtJmLBJ/
2025-08-25 06:50:31 UTC,2019-11-02 19:30:00 UTC,Club Brugge KV,Kortrijk,Jupiler League 2019/2020,3,0,"2:0, 1:0",Jan Breydel Stadion,Brugge,Belgium,"[{'odds_over': '1.32', 'odds_under': '3.04', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.30', 'odds_under': '3.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.30', 'odds_under': '3.20', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.35', 'odds_under': '3.27', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.38(49)', 'odds_under': '3.45(65)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.38(49)', 'odds_under': '3.45(65)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.38(49)', 'odds_under': '3.45(65)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/club-brugge-kortrijk-Yy1KSJZg/
2025-08-25 06:50:40 UTC,2019-10-30 19:30:00 UTC,St. Liege,Beveren,Jupiler League 2019/2020,2,0,"1:0, 1:0",Maurice Dufrasnestadion,Lige,Belgium,"[{'odds_over': '1.53', 'odds_under': '2.40', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.49', 'odds_under': '2.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.48', 'odds_under': '2.45', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.59', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.57(17)', 'odds_under': '2.62(157)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.57(17)', 'odds_under': '2.62(157)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.57(17)', 'odds_under': '2.62(157)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/st-liege-sk-beveren-tlPgCbkD/
2025-08-25 06:50:51 UTC,2019-11-02 17:00:00 UTC,Eupen,Genk,Jupiler League 2019/2020,2,0,"2:0, 0:0",Kehrwegstadion,Eupen,Belgium,"[{'odds_over': '1.84', 'odds_under': '2.05', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.81', 'odds_under': '2.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.75', 'odds_under': '1.95', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.83', 'odds_under': '2.07', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.81', 'odds_under': '2.07', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.87(152)', 'odds_under': '2.08(240)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.87(152)', 'odds_under': '2.08(240)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.87(152)', 'odds_under': '2.08(240)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/eupen-genk-2HhyPyZI/
2025-08-25 06:51:00 UTC,2019-11-23 19:00:00 UTC,Beveren,Cercle Brugge KSV,Jupiler League 2019/2020,1,1,"1:0, 0:1",Freethiel Stadion,Beveren,Belgium,[],https://www.oddsportal.com/football/belgium/jupiler-league-2019-2020/sk-beveren-cercle-brugge-vVPCNtBt/
